epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.1411,2.60808,3.50332,2.03116,0.0175,0.35294,0.00915,0.00216,1.88914,3.52991,2.04168,2e-05,2e-05,2e-05
2,15.608,2.38677,3.51379,1.90578,0.0225,0.45378,0.01331,0.00302,1.80392,3.52118,1.92735,5.8812e-05,5.8812e-05,5.8812e-05
3,22.2885,2.01546,3.47424,1.68871,0.02458,0.4958,0.01634,0.00419,1.70867,3.50099,1.80267,9.604e-05,9.604e-05,9.604e-05
4,28.9136,1.62524,3.30759,1.37971,0.03,0.60504,0.02405,0.00728,1.57665,3.37117,1.57292,0.000131684,0.000131684,0.000131684
5,35.3417,1.46228,2.89773,1.22952,0.03875,0.78151,0.04209,0.01941,1.4264,3.14935,1.3539,0.000165744,0.000165744,0.000165744
6,41.9201,1.47518,2.57518,1.17281,0.04333,0.87395,0.05899,0.0278,1.38316,2.99771,1.31946,0.00019822,0.00019822,0.00019822
7,48.3251,1.50178,2.06367,1.16587,0.0425,0.85714,0.0579,0.02674,1.41178,2.89796,1.35382,0.000229112,0.000229112,0.000229112
8,54.7388,1.45837,1.54851,1.17627,0.04375,0.88235,0.07197,0.03396,1.34425,2.74695,1.29418,0.00025842,0.00025842,0.00025842
9,61.1142,1.35948,1.20245,1.07432,0.04333,0.87395,0.15109,0.08123,1.32512,2.68568,1.2779,0.000286144,0.000286144,0.000286144
10,67.7199,1.40061,1.21683,1.10408,0.04375,0.88235,0.25807,0.14831,1.33886,2.62018,1.28724,0.000312284,0.000312284,0.000312284
11,74.1109,1.26274,1.16762,1.10416,0.04333,0.87395,0.38693,0.23319,1.36519,2.51423,1.33906,0.00033684,0.00033684,0.00033684
12,80.6119,1.32149,1.15958,1.11791,0.0593,0.88235,0.47008,0.28069,1.38063,2.35619,1.37886,0.000359812,0.000359812,0.000359812
13,87.2087,1.26876,1.12679,1.11908,0.61206,0.35799,0.50628,0.31301,1.3957,2.22401,1.4397,0.0003812,0.0003812,0.0003812
14,93.6878,1.29257,1.06237,1.07771,0.6858,0.36975,0.53359,0.32486,1.38242,2.11522,1.4567,0.000401004,0.000401004,0.000401004
15,100.211,1.33165,1.11481,1.08235,0.65096,0.39184,0.54109,0.33581,1.35481,2.02636,1.45942,0.000419224,0.000419224,0.000419224
16,106.729,1.20833,1.0627,1.06174,0.65217,0.40336,0.55047,0.34196,1.35405,1.97908,1.48417,0.00043586,0.00043586,0.00043586
17,112.893,1.07399,1.09539,1.06766,0.64156,0.39496,0.55108,0.33716,1.37806,1.97514,1.47261,0.000450912,0.000450912,0.000450912
18,119.114,1.10084,0.93396,0.99238,0.70154,0.41482,0.5599,0.331,1.37603,2.05161,1.48308,0.00046438,0.00046438,0.00046438
19,125.572,1.1603,0.9715,1.02715,0.73986,0.37815,0.54756,0.32043,1.35554,2.1111,1.46059,0.000476264,0.000476264,0.000476264
20,131.971,1.11486,0.94245,1.03718,0.75014,0.32799,0.51917,0.30544,1.34023,2.24462,1.39055,0.000486564,0.000486564,0.000486564
21,138.271,1.17591,0.94002,1.03587,0.7555,0.28563,0.49899,0.28163,1.33661,2.28772,1.37696,0.00049528,0.00049528,0.00049528
22,144.517,1.15629,0.96225,1.05398,0.73907,0.40336,0.50247,0.28979,1.39762,2.18016,1.40198,0.000502412,0.000502412,0.000502412
23,150.936,1.14432,0.96422,1.0853,0.74951,0.47899,0.52926,0.3003,1.44684,2.07311,1.362,0.00050796,0.00050796,0.00050796
24,157.138,1.10171,0.89815,1.01411,0.72323,0.52101,0.52367,0.312,1.45375,1.91325,1.31989,0.000511924,0.000511924,0.000511924
25,163.478,1.14109,0.9398,1.02572,0.71041,0.53782,0.54155,0.32973,1.4304,1.81459,1.27683,0.000514304,0.000514304,0.000514304
26,170.036,1.0896,0.85858,0.99796,0.69141,0.57983,0.5677,0.35794,1.39014,1.65947,1.25947,0.0005151,0.0005151,0.0005151
27,176.386,1.10049,0.89723,1.02498,0.67622,0.58824,0.56837,0.36695,1.35863,1.579,1.23408,0.000514312,0.000514312,0.000514312
28,182.653,1.06863,0.86551,0.99393,0.67622,0.58824,0.56837,0.36695,1.35863,1.579,1.23408,0.00051194,0.00051194,0.00051194
29,189.047,1.10945,0.85935,0.98056,0.66062,0.58824,0.59515,0.38466,1.35235,1.52172,1.2268,0.000507984,0.000507984,0.000507984
30,195.417,1.09739,0.84239,0.99636,0.66602,0.62185,0.59365,0.37272,1.37841,1.49794,1.23315,0.000502444,0.000502444,0.000502444
31,201.753,1.08411,0.87621,0.99002,0.66602,0.62185,0.59365,0.37272,1.37841,1.49794,1.23315,0.00049532,0.00049532,0.00049532
32,208.077,1.11577,0.87639,0.99774,0.64094,0.63025,0.59394,0.36965,1.36846,1.44066,1.22644,0.000486612,0.000486612,0.000486612
33,214.452,1.08204,0.8776,1.00922,0.63989,0.61345,0.58901,0.36858,1.37887,1.43676,1.27447,0.00047632,0.00047632,0.00047632
34,220.609,1.0757,0.81048,1.01597,0.63989,0.61345,0.58901,0.36858,1.37887,1.43676,1.27447,0.000464444,0.000464444,0.000464444
35,226.954,1.10979,0.92328,1.06749,0.62808,0.56767,0.584,0.368,1.39064,1.44776,1.27783,0.000450984,0.000450984,0.000450984
36,233.387,1.11583,0.90715,1.03772,0.60592,0.54269,0.58684,0.37159,1.35535,1.46546,1.27365,0.00043594,0.00043594,0.00043594
37,239.872,1.04313,0.79566,1.00162,0.60592,0.54269,0.58684,0.37159,1.35535,1.46546,1.27365,0.000419312,0.000419312,0.000419312
38,246.208,1.03883,0.87483,1.05437,0.62953,0.57119,0.62778,0.39522,1.32432,1.43493,1.27666,0.0004011,0.0004011,0.0004011
39,252.729,1.05534,0.81981,1.0037,0.65892,0.59664,0.64282,0.41152,1.28637,1.38458,1.26843,0.000381304,0.000381304,0.000381304
40,259.217,0.96752,0.7573,0.95645,0.65892,0.59664,0.64282,0.41152,1.28637,1.38458,1.26843,0.000359924,0.000359924,0.000359924
41,265.564,0.99154,0.79964,0.99949,0.6546,0.6052,0.64715,0.42328,1.2703,1.36037,1.26568,0.00033696,0.00033696,0.00033696
42,271.913,1.01077,0.7761,0.98873,0.70634,0.61345,0.64248,0.42232,1.26934,1.33985,1.26443,0.000312412,0.000312412,0.000312412
43,278.191,0.99462,0.78281,0.99984,0.70634,0.61345,0.64248,0.42232,1.26934,1.33985,1.26443,0.00028628,0.00028628,0.00028628
44,284.567,0.98659,0.80184,0.99363,0.67912,0.62185,0.63712,0.41373,1.28349,1.31122,1.2511,0.000258564,0.000258564,0.000258564
